cleaned_text,target,token_length
myfriendanarmyjustlostherfatherinanaccidentandhermomrightnowisstillunconsciouspleaseprayforhermo,1,1
mlindothevocalistinanothercaraccidenthttpstcobxrregak,1,1
therearenogreatertreasuresthanthehighesthumanqualitiessuchascompassioncourageandhopenoteventragicaccide,0,1
pleasehelpourfriendsintheyhavehadanonfaultaccidentthatisresultedintheirvehiclebeingwritte,0,1
whenyouhurtyouryoungersiblingbyaccidenthttpstcodamteoqtzu,0,1
davidcameronsdecisiontoholdareferendumexpressedinthemediumofaroadtrafficaccidenthttpstcoxatyhftxoa,1,1
anautoaccidentinjurycansetaprocessinmotionthatcangetcomplicatedfindouthowlongittakestosettlehttpstcogqptvdf,1,1
noonehastherighttocallababyanaccidentjdhimselfcalleditablessingheusedtheloveliestwordtodescribewhat,0,1
iactuallypostedthisbyaccidenttotwitterbuthavedecidedthiscanstay,0,1
questionletussayyouarehappilymarriedandyourhusbanddiesinatragicaccidentyouaredeveststedbutthispussynot,0,1
thekampalametropolitaneasthasincustodytwosuspectswhoallegedlystrangledtodeathapassengerhttpstcovvmvw,1,1
incompletelyavailablepublicinformationthefiresweremostlystartedbyhumansonpurposeoronaccidentwithth,0,1
duringmyphdtherewasacolleaguewhowentoutofherwaytobullyandbecauseworkdiscomfortformeihttpstcoghivxzot,0,1
thespeedingcarrammedintoagroupofpeoplewhowerereturningafterattendingatemplefestivalofayyappankahttpstcoebblavdda,1,1
yroldbellaneedsanewhomeduetoanincidentthatwasanaccidentshecanlivewitholderkidsandintherightho,0,1
lookatthisshitsheneedherlittleasswhoopedbeforeshehitsomebodybyaccidentlecheminduroibransoncognacstarzge,0,1
youarenotanaccidentontheearthyouaregodsdivinelycraftedmasterpiecehedesignedyouwithadestinyinvhttpstcokfctpwuj,0,1
iransaysthattheyshotdownukraineinternationalflightbyaccidenthereisanpictureofthataircraftinhttpstcocodnyquz,1,1
sawthistruckwiththecontaineralmostfallingoffthismorningreported,1,1
judgelesssmilemoreitisnottheoldestprofessionbyaccidentlol,0,1
puertoricohitbyanothermagnitudeaftershockkymahttpstcosfwbvdme,1,1
aftershockatamiwasasleepandthemovementofmybedwokemeupnotsoscarybutiwishtheywerenothttpstcolamwclxhf,1,1
goodnightmyfriendsasperusgsthenewquakeinthismorningcausedthedayaftershockforecasttochange,1,1
yeaitwasnotthatlongshekilledmeinlikeorsecondsbutnotsurewouldhavetohttpstcopexyxyjofm,0,1
honoredtohaveanessayinaftershockmarkingthethanniversaryofalvintofflersfutureshockcompendiumofessaysint,0,1
ticketsonsaleaftershockhttpstcokqhmzbgmvknowplayingkhdradio,0,1
comewithustoaftershock,0,1
ooithinkifeltyouraftershock,0,1
aquickcomparisonoftheongoingmpuertoricoearthquakesequenceandthemcentralcaliforniasequenc,1,1
whyarepuertoricansrefusingtogohomeasidefromtheaftershockjustnowthegroundinsouthwestpuertoricohas,1,1
inceptionthesocialnetworkeasyablackswantoystorythekidsareallrightaftershock,0,1
puertoricohitbyanothermagnitudeaftershockkymahttpstcorrtntmanr,1,1
puertoricohitbyanothermagnitudeaftershockkymahttpstcowwcdsvdv,1,1
aotherhardhithttpstcoxemfdko,0,1
musharafverdictwasjustmildaftershockofextensiononeshouldnotworrywhatcomesafterextention,0,1
puertoricohitbyanothermagnitudeaftershockkymahttpstcovradkszaln,1,1
kumerayellowaftershockphfossilfeaturedinbankbtngoodlivingmagazinephotographystylistshinohttpstcovljttzr,0,1
puertoricohitbyanothermagnitudeaftershockkymahttpstcommxxzwbpaf,1,1
pleaseprayforpuertoricohttpstcouwqpynohw,0,1
puertoricohitbyanothermagnitudeaftershockkymahttpstcolrtllbbtv,1,1
yakovzhttpstcoblgyunumdg,0,1
darkakeyeekpossessorwaskilledbypossessionaftershockonritchestunnelshttpstcoazoizicsde,1,1
checkoutmylatestvideosuperzerovolcloserlookhttpstcotkgxjdvyacloserlookatsuperzerovolbyam,0,1
mightbeasmallaftershockididnotfeelanything,0,1
stayinformedstayengagedwithwhatisgoingoninpuertoricoaftertheearthquaketheusgsdayaftershockshttpstcobyibfplhyg,0,1
thisisnotgoodifeelforthepeopleofpuertoricohttpstcogzctyroxs,0,1
aftershockvaporproreviewaussieaussieaussiehttpstcopwnqvarrpowerupau,0,1
puertoricoworkerexplainsearthquakeaftershockpleadingtogoviralhttpstcohhfjqnletvia,0,1
thisisanunfathomablenumberilivedthroughalargeearthquakeandwesleptunderthetableforoneterriblenight,0,1
nahineedcalmdownhttpstcoeokphshnr,0,1
thinkingabouthowsomespatbloodatmeduringmarilynmansonssetataftershock,0,1
iftwoquakeshaveaboutthesamemagnitudeyoucannotsayoneistheotherspreshockoraftershockonlywhenoneisobv,0,1
anmmaftershockhappenswithindaysafteranmmmainshockifyoucanpredictitthenyoucansayitisan,1,1
idonotthinksilivrimisanaftershockofthesilivrimafewmonthsagoquakeprofessorsalwayssaysuchnonsen,0,1
ithinkitisanaftershockfromslyricalbeatdownbrentneverrecovered,0,1
apexisallaboutseparatingfrommonarchtheyareseparationwellfrommytheoryonhowmechagodhttpstcoabzdkqocpv,0,1
orsendingmymatesimontothebarandaskingforaguinessbutendingupwithacarlsbergexportandamintafter,0,1
usgsearthquakeexpertsareinpuertoricoinstallingtemporaryseismometerstohelptrackseismiceventsincludingajanuaryma,0,1
puertoricohitbyanothermagnitudeaftershockkymahttpstcopthvptak,1,1
overtheweekendpuertoricowasstruckbyaaftershockcausingmoredamagetohomesandschoolsandleavingthou,1,1
howcouldyouleavewhenigaveyoumyall,0,1
forthefullexperiencestartwiththisonestintheseriesfoodwasrunninglowtosavetheyoungthegovernor,0,1
themagnitudequakeinpuertoricothismorningcausedourdayaftershockforecasttochangewenowestimateanincreased,1,1
wecontinuetoupdateourdayaftershockforecastscenariosforpuertoricoforecastsarepostedinbothenglishhttpstco,0,1
anotheraftershockhashitpuertoricoafterlastnightpeoplecannotgohomeiftheyevenhaveonetheyhavenopo,1,1
aftershockcomicswepreferworkinginpartnershipwithourcreatorstobuildoutthatteamfromthegroundup,0,1
didtheotherearthquakeaftershockmessupthepoweragain,0,1
aftershockforecastforpuertorico,0,1
likeiranshootinganairplanewasanaccident,1,1
bingbongairplaneaccidentremix,0,1
morganissurprisedtoseeshaunbackatworkalreadyandoffershercondolencesonhisdadshaunsaystheairplanhttpstcosxwrbahj,0,1
thatisaloadofrubbishtherewasneveranimminentthreatjesuschristiranshohttpstcocdfzfc,0,1
actuallyblockingtheinternetwasjustanaccidentyouknowjustlikewheniranshotdowntheukrainianairplane,1,1
conclusiononpreviouspageisincorrectimhothewitnessobservationsofastreakoflightwehttpstcotzxvuxcw,0,1
thecelebritiesiniranthatareverysadlyaboutourcompatriotsthatkilledwithdowningukairplanenotonlydihttpstcoctjvwichv,0,1
soiranianradarscannottellthedifferencebetweenanincomingmissileandanoutgoingukrainianairplanewhathttpstcohoeejeuihe,1,1
hadalookatyourtimelineiseeyouhatemycounhttpstcocmqgspj,0,1
militarymistakesusmilitaryshotdownaniranianpassengerairplaneiranianmilitaryshotdownanukrhttpstcogbnqiht,1,1
secretantispyingservicesinthemiddleeastshouldbeonhighalertthedemolitionofthecommercialairplaneyou,1,1
myfriendiliveherebelievemeitsourbasicrightsthatknowwhathappenedhttpstconbxhutfp,0,1
secretantispyingservicesinthemiddleeastshouldbeonhighalertthedemolitionofthecommercialairplhttpstcopzvifdpkv,1,1
howisitthatiranfiredbetweenandsurfacetosurfacemissilesthenfiredasurfacetoairmissileathttpstcompkttfcafb,0,1
basicallyyoukilledthegeneralputthewholecountryintoaconfusingstatustheyshootacivhttpstcoplkrqhpy,0,1
noiwasreferringtotheshootingdownoftheairplaneireallydo,0,1
noiwasreferringtotheshootingdownoftheairplaneihttpstcoxkvqrdtjhr,0,1
andanyonewhobelievesthatincidentwasanaccidentisanidiotanairplaneatapproxfee,0,1
andanyonewhobelievesthatincidentwasanaccidentisanidiotanairplaneatapproxhttpstcoaxtomjme,0,1
irandidnotblowupanairplanebyaccidenttheyintendedforittobeshotdowntheaccidentisthatitwasacivilianaircraft,1,1
buttheairplaneaccident,1,1
mrmyouholdptrumpaccountablefortheairplaneaccidentwerverysadtoobutplsdonottweetabohttpstcocqsmfvtlmw,0,1
justdialtollfreefromyourphoneintheeventthatyouwishtoreportfirefloodtheftarmedrobberykidnap,0,1
justdialtollfreefromyourphoneintheeventthatyouwishtoreportfirefloodtheftarmedrobberykhttpstcoejgicq,0,1
soirancanshootdownacommercialairplaneandclaimitwasanaccidentdoesanyonereallybelievethat,1,1
youmaybeunawarethatcndiscurrentlyinmourningcanadiansweredownedinanairplanebyaccidentiniranflag,1,1
sorryforyourlossiranshouldneverhaveshottheairplaneoutoftheskyaccidenttheysay,0,1
itwasnotiraniansknewwhentakeoffwashappeningamptheyknewtheairplanemanufacturerwasamericanhttpstcojnbfbzwh,0,1
massantigovernmentprotestseruptiniranafterleadersadmittoshootingdownairlinerstillcannotbelievewhttpstcodwexwdlbgn,0,1
ireadthewholethreadheisblamingtrumpforiranshootingdownanaihttpstcoevlsdnwz,0,1
airplaneaccidentanswerstheusdesignatedtheiraniangovernmentasterroristsandhahttpstcoaogpyniq,0,1
heygotsomeswamplandforsaleyouareeithernaiveorjustplainstupidwhichisitirandowningthttpstcofucjjfq,0,1
perhapsproddedbyotherszelenskydecidesukrainehasnothingtolosebypilingontoiranneverseensomanyophttpstcobvzjdzep,0,1
asacanadianiamveryconcernedtheairplanethatwasshotdownbyaccidenthadcanadiansmanyofiranian,0,1
shootinganairplanedownbyaccidentisbullshitjustlikeaccidentalshootingsoffirearmsespeciallysincehttpstcoxkeyvgxfiq,0,1
oddhowtheiraniansaccidentallyblewuptheairplaneaftertakeoffwassomeonejustplayingwithhttpstcoyyxgzhq,0,1
asacanadianiamveryconcernedtheairplanethatwasshotdownbyaccidenthadcanadiansmanyhttpstcovmskmrlyb,0,1
andnoexcuseforshootingdownacommercialairplanewithinnocentciviliansonohsorryjeremyasyousayitwasan,0,1
youbeatmetothisresponseyouhavetotrackanairplanewithasurfacetoairmissile,0,1
itisunimaginabletohavepeoplegoneinoneaccidenthowcouldanyonepointasurfacetoairmissileatahttpstcoabwohxuz,0,1
soitwasjustanaccidentthatiranrocketedanairplanekillingpeopleandlibsdefendingitlikethatisokb,0,1
andnoexcuseforshootingdownacommercialairplanewithinnocentciviliansonohsorryjeremyasyousayithttpstcogukctoutn,0,1
wellletusseeweknowsofarthebodycountofdemonstratorswasoverhttpstcosppcskbuq,0,1
youbeatmetothisresponseyouhavetotrackanairplanewithasurfacetoairmissihttpstcorfywvnqoz,0,1
goodlordyeahitwasanaccidenttheairplanedidnotgivethemissiletherightaway,0,1
theiranianleadershiphasdownedthecommercialairplaneonpurposewhoaretheykiddingbysayingitwasbyaccident,0,1
oohlooknytbecamealawyerfortheiranianregimewhatastupidnewspaperitisnowtimetherearevihttpstcosbfucnkmpr,0,1
howexactlydoesoneaccidentallyfirearocketatanairplaneleavingyourowncountriesairportthishttpstcolqdfgthtn,0,1
sotheysayingshootingdownthatairplanewinnocentpeoplewasanaccidentbruh,1,1
therewerenuclearphysicistsonthatairplaneitwasnoaccident,1,1
andhismurderousfriendsshootdownanairplanebyaccidentkillingaroundinnocentpeoplebutwahttpstcoiwgdnksx,1,1
yupandtheusonceshotdownaniranianairplanebyaccidentandwehavebeensupphttpstcosmtortsjn,1,1
unitedstatesdownsaniranianterroristandtheworldpressdedicatestonsofarticlesonthelifehelivedbuttheira,0,1
besidestheairplanebeingshotdownbyaccidentotherthingsarehabbeningalsohighlevelproiranmiliti,0,1
cbcnewsjustsaidtherewasanoperatoronamissilelauncherthatshotdowntheairplanecockpitwastakenouthttpstcouyyyaqear,1,1
considergthowdoesapersonwithavideocameraknowwhereandwhentorecordanattackbeforetherewasanyindication,0,1
besidestheairplanebeingshotdownbyaccidentotherthingsarehabbeningalsohighlevelproirhttpstcooljmmbtj,0,1
yeahyerwellpreparedhitafewbuildingsampknockeddownyerownairplanebyaccidentbetterkeepdhttpstcowwwloyvl,0,1
iftheshootingdownoftheplanewasanaccidenthumanerrorwhyweretheiraniansshootingmihttpstcojesxuykyvd,0,1
thisattacknonanairplanethathadjusttakenoffwasnoaccidentiranwantstheworldtoknowtherewillbecohttpstcomimawncx,0,1
groverairplaneaccidentdoctor,0,1
trumpinaccidentcrashairplaneukraineisthemainfactorasthemostpowerfulpersonintheworldwhosecount,0,1
trumpinaccidentcrashairplaneukraineisthemainfactorasthemostpowerfulpersonintheworldwhosehttpstcomskujjex,0,1
althoughitislateiextendmycondolencestoallthefamiliesofthevictimsoftheukrainianairplanefallinginclu,1,1
iranianmilitaryadmitteditshotdownukrainianairplanebymissilesaccidentallyitisnotanaccidentitisacrim,1,1
somuchtalkaboutukraineairplanewithiniranusaconflictwhileconflictwisethisisirrelevantwhatismohttpstcolpetmpyk,0,1
althoughitislateiextendmycondolencestoallthefamiliesofthevictimsoftheukrainianairplanefallinghttpstcohbaxnwmvoz,1,1
iranshotdownanairplanefullofinnocentpeoplesaywhatyouwantabouttrumpbutthatisnotanappropriaterhttpstcodedrynzk,1,1
sheisstillsilentaboutthekillingofinnocentpeopleiniraniranianmilitaryadmitteditshotdownukrainiana,1,1
theiranianschosethedayandtimetosendmissilesinsideiraqandtheyalsocontrolledthehttpstcoehjpcnlw,0,1
wastheairplaneonaroutineflightpathfromtheairportonewouldthinkthosethatshotitdownwouldbefam,0,1
germanysforeignministerheikomaassaysitmustbeassumedtheairplanecrashiniranwasaterribleaccidenthttps,1,1
howaboutsomecompassionforthefamiliesoftheukrainianairplaneshotdownbyaccident,1,1
howaboutsomecompassionforthefamiliesoftheukrainianairplaneshotdownbyaccident,0,1
fireengulfsambulanceconveyingcorpseofcatholicpriestsmotherstreetjournalhttpstcogkdagkrrl,1,1
isitracisttobeconcernedthatthisiscorrectresidentsinbirminghamcannotspeakenglishbirminghamisengland,0,1
waarlandambulanceparitsabinahofwaarlandhttpstcoyeszazbodp,0,1
usdjpydespiterichterscaleoverboughtfxstreetlineupswissquotebullishlongjasonsenmrambulancechaserb,0,1
usdjpydespiterichterscaleoverboughtfxstreetlineupswissquotebullishlongjasonsenmrambulancechahttpstcoivuuacsq,0,1
theuntamedboyssinginglovesirenfrommyambulancetheuntamedboysinbkkhttpstcohkshthsw,0,1
orpullingoverforanambulance,0,1
ihopethereisgoingtobeanambulancewaitingatthebottombecausethereisnowaythatfatlumpcanclihttpstcoeqfgfoi,0,1
myambulancecoveriscomingtheuntamedboysambassadorforthaispringfestivalthedelightful,0,1
whendrivingdrunkyoucanchooseyourwaytocomebackhomeataxibhttpstcobkxokgfkq,0,1
yersevereambulancerampingunderfundingresourcinghttpstcokpenmwiej,0,1
zulaykhassonwasanambulancedriverwhowaskilledinasuicideattackinmaimanafaryabeverydayshevisitstheambu,0,1
firstofallhewasnottakentonodamnhospitalthatmandiedinwalmartwiththeambulanceoutsidetheywasmorefocuse,1,1
jinuareyouokayyouhityourheadandfainteddoyourememberanythingyoononlytheambulanceridetothehospi,0,1
whathasitcometowehaverecentlyhadfuelstolenfromambulancevehiclesanddamagetoastaffcarwhilstonanambulanc,1,1
theyhavegoneambulancechasinginaustralia,0,1
anddrumrollitsbeachgirlhenrytriedtokeeppressureonthewoundandcallsforanhttpstcogvombo,0,1
whatracismabsolutelydelightedhttpstcowcpoyzjvy,0,1
thenorovirusislikeadetoxgetsallthecrapoutthesystemmuchlikeflushingoutthecentralhhttpstcomwjbxcelyw,0,1
oohguysdoyouknowwhereingautengpeoplegotostudynursingandtheambulancenurseswhokeepyoualiveintransit,0,1
iranproteststehranrightnowvaliasrintersectioniswherethespecialforcesareheadingtotheparadiseambulance,0,1
areyouoneofthosewhosilentlyprayforanunknownambulancepassedbyhttpstcozsqjtdg,0,1
longnightmomssugardroppedtosodadcalledanambulancenofunathospitalwithlateshift,1,1
ifyouhavenorovirusthereisnoplacelikehomethewinterbugisunpleasantbutusualgoesawayafteracouplhttpstcoaigermhm,0,1
idonotunderstandhowjongkookdancedlikethatandwasnotbreathingheavilyattheendofhissequencewhilelyihttpstcodtrpzyxs,0,1
unilorindidnothaveoxygenawholeuniversityofilorinnothavingoxygentheyhadtoreferustouiththinkingmaybet,0,1
ambulancenurses,0,1
angelsoverafricaanetcareairambulancewithdoctorandparamedichasbeenactivatedforaninterhospitaltrans,1,1
forallyourambulanceneedscallustodayonourtollfreenumberhttpstcoawzjwwxkx,0,1
whatalovelymessagetoreceivethankyousomuch,0,1
timelyactionduringaccidentscansavesomeoneislifeifyoufindsomeonewithinjurythencallforanambulancehttpstcopptijujpn,1,1
whentechnicalbrainsspeaktoaragingdebatemostlytheirdispositionampknowledgecalmsthestormevenmorehttpstcovdnctkxdb,0,1
justgotbackfromthehospitalbecauseiaccidentallyblendedmyfingerwhilecookingandipromisedtheambulancedoctorsiw,0,1
anotherracebaitingambulancechaserexposedthisisracisminactionbutyouandpeophttpstcouhepawvk,0,1
oohguysdoyouknowwhereingautengpeoplegotostudynursingandtheambulancenurseswhokeepyoualiveinthttpstcomykfiblu,0,1
nickiminajsinglehandedlyannihilatedthemalespeciesthedaythisdropped,0,1
youmustbeannihilated,0,1
basicallyletpeopleworkhardfortheirmoneysaveinvestwiselythensnatchitfromthemtofuhttpstcorkejhoqs,0,1
thanksnooffencetakenbutreallythechoiceforcentreleftpartiesiseitherrehttpstcowrdsfcjp,0,1
thecommonestlineinmostnaijasongsthathasnowbecomeannoyingisthewayyouwhyneedeyblowmymindplease,0,1
whichquranicversedidtheleaderchooseforqasemsoleimaniuniquemomentasoldierofislamwhotirelesslyfoug,0,1
sheisnotwrongtheonlywayacawaspassedwasbecausehttpstcohszxgeic,0,1
yougetreadybypickingyourweaponofchoiceichosealuteofcoursethinkingeverythingwillhttpstcogiquvhw,0,1
actuallyimpossibletotellwhetherdanorborisislessacrosstheirbriefsajournalistalmostanyjournalisthttpstcocgxrdqn,0,1
zerochanceofanyofthosecandidateswinningthenextelectionthedeludedhardleftwillhttpstcoxnurpteng,0,1
goodriddancetobadrubbishjustlikewewillbesayingaboutyouwhenyouareannihilatedatfedelection,0,1
havenotthelikesofunderstoodyetthatitwastheseshtpoliciesplusoutoftouchhttpstcowjxhydwzk,0,1
allthebreaststhathaveperishedinthenameofaabottleofpoisonitmakesmewanttocryitmakesmewantthttpstcolqgatac,0,1
httpstcoebfqbesiyouallthisbeautifuldelicatetendervampiretaejinannihilatedmetonightitisthemosthttpstcopciytuftlj,0,1
justreminiscingaboutthetimeiannihilatedapbandmadeitlookeasykgfeelingfiinebringongpchttpstcozpojagqv,0,1
titansraiseyourtridentsanddrinktovictoryweannihilatedourenemiesyesterdayandsentthemtohadeswherethey,1,1
allthepromisesthathaveperishedinthenameofaalmonditmakesmewanttocryitmakesmewanttocursedeshttpstcozularoqepo,0,1
sneyoureallytrynaseemegetannihilateddmmeyourpsnbro,0,1
titansraiseyourtridentsanddrinktovictoryweannihilatedourenemiesyesterdayandsentthemtohadeswherehttpstcodulykaxv,1,1
iwillappreciatethebbcigbowhenitstartstoexposehowbritainpartookinthebiafragenocidewereovermillio,1,1
pollsmeanshitallhughtheywerewrongmassivelywehaveeffectivelynowhadvotesleavewonhttpstcoeptuvmjq,0,1
piersmorganannihilatedwithsimplelogichttpstcorclwbcfl,0,1
piersmorganannihilatedwithsimplelogicveganadvocacyongoodmorningbritainhttpstcorclwbcfl,0,1
piersmorganannihilatedwithsimplelogicveganadvocacyhttpstcorclwbcfl,0,1
alltheapplesthathaveperishedinthenameofaadderallpillitmakesmewanttocryitmakesmewanttocurshttpstcoaewjnrzcb,0,1
wewinthefederaljudgeliftedthetrowecanbuildinthefloodplainthiswillchangethegamethejudgeabsolutely,0,1
oppenheimerannihilatedhimiwasdonewhenhereferencedmistressdeathsdislikeofthanoshttpstcootjxs,0,1
andilostinourbigteameventpointsoutofwithaprettynicelistitislikeiwasannihilatedinside,0,1
theywouldgetannihilatedbymiamihttpstcoblocurae,1,1
beinganallyoftheusmeansyoutoocanbeannihilatedatanyminutejustlookatthekurds,1,1
theporesonmynoseaftergettingannihilatedbymyfingersatamhttpstcoydkderst,0,1
thatmomentwhendocockinspideysbodyrealizesthatspideyhasbeenholdingbackintheirfightsallthistimeandpete,0,1
thebestwaytodescribemycurrentemotionalstateistoddlerinawavepoolfineforthemostpartbutgetsannihilatedw,0,1
nickiminajsinglehandedlyannihilatedthemalespeciesthedaythisdroppedhttpstcovkkpwdtk,0,1
answersoooooohappyididnotrenewmyseasonticketsiwouldhavelostmymindiamverydihttpstcodspkjkhw,0,1
machineschangedmusicprettymuchannihilatedtheconceptofalivebandplayingrealinstrumentshowevermachineshaven,0,1
lsuwouldhaveannihilatedtheohiostateuniversitytheycouldnotevendominatewisconsinhttpstcoynyvuizot,0,1
shouldmentionthefloridastateteamaswelltheyannihilatedeverybodytheyplayedexceptauburnwhotheyhttpstcosynzcxol,0,1
machineschangedmusicprettymuchannihilatedtheconceptofalivebandplayingrealinstrumentshowevermachihttpstcowxgfpzboit,0,1
iamgettingabsolutelyannihilatedbutiamhookedontarkov,0,1
anddisneyampthepsychreyloswonderwhyweareupsetwstarwarswhichishttpstcouhzsqae,0,1
thotstatusannihilated,0,1
presidenttrumpisagreatpresidentheannihilatedtheterroristsattheriskofintihttpstcobfqovrrz,1,1
youthinktheywouldhavelearnedwithclintongettingannihilatedaftershttpstcoiglkqmb,0,1
theantichristhesinglehandedlyannihilatedtheamericanmovieindustry,0,1
thatwasbeforeauspolwasontotheliarfromtheshireandhismanipulationoftheelectionhttpstcozgzumf,0,1
adevastatingandthoroughrefutationofandnedflandersstreamwheretheyannihilatedorthodoxstrawmen,0,1
adevastatingandthoroughrefutationofandnedflandersstreamwheretheyannihilatedorthodoxhttpstcoxlxcrbua,0,1
maybemycurrentthinkingisitwillbearelatedtoupcomingtitleorstoryarcxfactorjusttonallyfeelhttpstcokjjnnfgo,0,1
justannihilatedthisyograduatebroadmadehercallmethegaudsnatchedhersoulsanddidnotbusthttpstcosdrpovvfi,0,1
thotstatusannihilated,0,1
thisguyjustannihilatedthebestdefenseincollegefootballandallwehadtodowaslosetwogamesiamsick,0,1
brokedestroyedannihilatedshatteredhisankleandabouwasneverdsameagain,0,1
clowninphotoonleftfarleftjokedaboutpredatordronestrikesatfakenewscorespondentsdinnerafterhechttpstcommyhl,0,1
lsuwasthebestteaminthecountrystarttofinishthisseasontheyannihilatedoklahomainthesemifinalsanddhttpstcoitvqnjnyzv,0,1
allvalidandtotalbodyofworkmattersbutlsuprovedtometheyweretheworthyseedwhenthttpstcoghzkzcblw,0,1
ifallelseperishedandheremainedishouldstillcontinuetobeandifallelseremainedandhewereannihilated,0,1
berniesandersisthemostcoddledpoliticiantodayhewillgetannihilatedifwinthenomination,0,1
iransgovernmentisdominatingheadlinesacrushingandcruelislamicregimepurveyorofproxywarsstatesponsoredter,0,1
